,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
410,,,,,,,,,,,,,,Accidental,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,Deliberate,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,Deliberate,,Accidental,Deliberate,Deliberate,,,,,,,,,,,,,,,,,,,,,,
1400,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,Deliberate,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,Deliberate,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,Deliberate,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,Undetermined,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,Deliberate,,,Accidental,,,,,Accidental,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,Accidental,,,,,,Deliberate,,Accidental,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,Deliberate,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,Undetermined,,,,,Undetermined,,,Deliberate,,,,,,,,,,,,,,,,,
711,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,Deliberate,Accidental,,,,,,,,,,,,,,,,,,,,,,,,
MG21,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,
701,,,,,,,,,,,,,,,,Deliberate,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,
702,,,,,,,,,,,,,,,,Undetermined,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,
703,,,,,,,,,,,,,,,,Undetermined,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,Undetermined,Accidental,,,,,,,,,,,,,,,,,,,,,,,,
704,,,,,,,,,,,,,,,,Accidental,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,,Deliberate,,Accidental,,,,,,,,,,,,,,,,,,,,,,,
706,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,Deliberate,Accidental,,,,,,,,,,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,
708,,,,,,,,,,,,,,,,Deliberate,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,
709,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,
710,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,
712,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,
