,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
128744,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
128584,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
128783,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
128822,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
128816,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
128848,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
128971,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
128950,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
129014,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
129098,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
129147,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
129133,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
129246,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
129496,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
129603,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
129608,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
129707,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
129872,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
129906,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
129904,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
130004,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
130091,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
130259,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
130263,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
130290,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
130330,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
130332,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
130378,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
130522,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,
130566,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,
130862,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,
130954,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
130987,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
131197,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
131243,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
131474,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
131537,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
131564,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,
131617,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
131613,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
131623,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,
131685,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
KR20b,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,
132742,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
266170,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
133112,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
133453,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
133449,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
667445,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
133481,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
133613,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
133642,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
133745,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
133878,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
133993,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
137674,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
138270,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
138248,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
138383,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
138692,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
138717,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
138780,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
139055,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
138956,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
139033,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
139083,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
139112,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
139104,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
139162,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
139110,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
139142,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
139178,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
139204,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
139212,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
139242,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
139240,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
139241,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
139235,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
139319,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
139575,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
139774,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
139770,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
140064,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,
140100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
140140,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
140362,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
140661,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
140699,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
140811,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
140936,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
140984,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
141106,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
141162,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
141572,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,
141686,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,
141785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
141898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
141986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
142299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
142342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
142353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
142501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
142502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
142904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
142999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,
143023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,
143002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
142988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
143047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
142060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
143833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
143825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
432390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
KR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,
MG03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,
MG09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,
KR27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,
144430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
144830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
144861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
144887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
144940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
144888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
144891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
146151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
146992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
147749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
150319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
150454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
150885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
150910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
150962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
151007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
151185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
151260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
151327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
151485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
151530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
151559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
151643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
151799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
151776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
151867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,
151902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
151925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
152145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
152168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
152453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
152452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
152504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
152974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
153011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
153043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,
153298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
153533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
153649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
153752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
153798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,
153809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
138850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,
153899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,
153951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
154049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
154046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,
154071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
154335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
154385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
154433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
463338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
154510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
154598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
154636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
154579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
154792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
154864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
154842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
154972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
155099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
155108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
155113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
155358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,
155693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
155691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
155835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
155833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
155924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
156011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
MG18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,
KR24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,
156808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,
157674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
158820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
159106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
160343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
181860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
162815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
163349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
163347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
163784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
163636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
163933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
163990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
164012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
164203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
492888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
821690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
164386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
164841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
165144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
165135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
165308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
165306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,
165462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
165609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
165696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
165752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,
165775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
165890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,
166292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,
165948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
165937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
165971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
165959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
165982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
166037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
166039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
166258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
166302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
166352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
166380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
166414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
166451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
166497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
166540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
166533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
166531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
166699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,
166920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
166934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,
167009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
167154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
167167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
167413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
334938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
167438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
167478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
167828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
167788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
167890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
167876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
168109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
168089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
168214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
168294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
168387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,
168486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,
168511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,
168563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
168616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,
